category_label,n_obs,status,rsui_adf_p,x_adf_p,aic,bic,coef,pvalue
Transport,21,OK,1.0,0.9978630838376182,260.90814790833906,267.1752825346796,0.0008837967003573602,2.3214562663973022e-09
Recreation & Entertainment,21,OK,1.0,0.9981864549692954,258.70924695381484,264.97638158015536,0.00519523332740265,4.600084589452499e-09
Restuarants & Hotels,21,OK,1.0,1.0,271.10153292636943,277.36866755270995,0.0029332510264210945,5.334954721340651e-08
Cloathing & Footwear,21,OK,1.0,1.0,287.20746628431704,293.47460091065756,0.002990708133111014,8.506142242104947e-05
Household Equipments & Services,21,OK,1.0,0.07261581232880503,305.86405731548865,312.1311919418292,0.00441196975207457,0.024376579887324848
Communication,13,OK,0.9990457684431486,0.9143269187752152,196.86357290183022,200.25326904659946,0.01853363097893795,0.08533853555143031
Education,21,OK,1.0,1.0,302.50365735031204,308.77079197665256,0.003146719537983769,0.329064063368035
Miscellaneous Goods & Services,21,OK,1.0,0.9528764160038414,306.9392120577617,313.20634668410224,-0.00015432099992620016,0.5037607636480228
Housing & Utility Service,21,OK,1.0,0.9973934500090614,307.0262235619024,313.2933581882429,-0.0007330297003424814,0.5191994431718229
Health,21,OK,1.0,1.0,300.2595964665283,306.52673109286883,0.0016543647224541024,0.556541424255208
Expanditure of Non Residents,15,OK,1.0,0.37621348453053666,230.75508117833925,235.00338238495252,-0.00019090595130375376,0.6055722218304457
Expanditure Abroad of Residents,15,OK,1.0,0.30991846941349266,228.8563371193204,233.10463832593365,-0.00020787771127654404,0.7970596556807239
Food & Beverages,36,OK,1.0,0.7928108274264025,501.4700091350081,510.9711227657448,6.0113291964014114e-06,0.8878159825123566
