dep_var,indep_var,group_type,group_label,horizon,effect_value,pvalue,n_obs,status,aic,bic,source_file,description
RSUI,gdp,sector_name,Agriculture,long_run,-79.99027714727949,,23,,309.06673737715585,315.3338720034964,gdp_longRun.csv,long run effect estimate of gdp on RSUI for Agriculture: negative (estimate=-79.9903; p-value not provided in this file).
RSUI,gdp,sector_name,Industry,long_run,-16.404873281882058,,23,,294.57249485097367,300.8396294773142,gdp_longRun.csv,long run effect estimate of gdp on RSUI for Industry: negative (estimate=-16.4049; p-value not provided in this file).
RSUI,gdp,sector_name,Services,long_run,-29.514267581381183,,23,,305.3129747497632,311.58010937610374,gdp_longRun.csv,long run effect estimate of gdp on RSUI for Services: negative (estimate=-29.5143; p-value not provided in this file).
RSUI,gdp,sector_name,Agriculture,short_run,-37.92119643627692,0.1198050326997302,23,OK,309.06673737715585,315.3338720034964,gdp_shortRun.csv,"short run effect of gdp on RSUI for Agriculture: negative (not significant; coef=-37.9212, p=0.12)."
RSUI,gdp,sector_name,Industry,short_run,-47.54029494417389,0.0003436236668816,23,OK,294.57249485097367,300.8396294773142,gdp_shortRun.csv,"short run effect of gdp on RSUI for Industry: negative (significant; coef=-47.5403, p=0.000344)."
RSUI,gdp,sector_name,Services,short_run,-69.70005373370549,0.0237888308448044,23,OK,305.3129747497632,311.58010937610374,gdp_shortRun.csv,"short run effect of gdp on RSUI for Services: negative (significant; coef=-69.7001, p=0.0238)."
RSUI,government_expenditure,exp_type,Capital Expenditure ,long_run,0.0022262750351514,,21,,303.18676756537235,309.45390219171287,rsui_long_run_gov_exp_by_type.csv,long run effect estimate of government_expenditure on RSUI for Capital Expenditure : positive (estimate=0.00222628; p-value not provided in this file).
RSUI,government_expenditure,exp_type,Recurrent Expediture ,long_run,-2.063094883797432e-05,,21,,283.40848262529227,289.6756172516328,rsui_long_run_gov_exp_by_type.csv,long run effect estimate of government_expenditure on RSUI for Recurrent Expediture : negative (estimate=-2.06309e-05; p-value not provided in this file).
RSUI,government_expenditure,exp_type,Capital Expenditure ,short_run,-0.0030544527545599,0.0408970728549273,21,OK,303.18676756537235,309.45390219171287,rsui_short_run_gov_exp_by_type.csv,"short run effect of government_expenditure on RSUI for Capital Expenditure : negative (significant; coef=-0.00305445, p=0.0409)."
RSUI,government_expenditure,exp_type,Recurrent Expediture ,short_run,0.0018398159560793,4.656238048570504e-05,21,OK,283.40848262529227,289.6756172516328,rsui_short_run_gov_exp_by_type.csv,"short run effect of government_expenditure on RSUI for Recurrent Expediture : positive (significant; coef=0.00183982, p=4.66e-05)."
RSUI,pce,category,Communication,long_run,0.0349068174235461,,13,,196.86357290183025,200.25326904659943,long_run_pce.csv,long run effect estimate of pce on RSUI for Communication: positive (estimate=0.0349068; p-value not provided in this file).
RSUI,pce,category,Education,long_run,0.0011336949197715,,21,,302.50365735031204,308.77079197665256,long_run_pce.csv,long run effect estimate of pce on RSUI for Education: positive (estimate=0.00113369; p-value not provided in this file).
RSUI,pce,category,Expanditure Abroad of Residents,long_run,-0.001694887213115,,15,,228.8563371193204,233.10463832593365,long_run_pce.csv,long run effect estimate of pce on RSUI for Expanditure Abroad of Residents: negative (estimate=-0.00169489; p-value not provided in this file).
RSUI,pce,category,Expanditure of Non Residents,long_run,-5.056546339548501e-05,,15,,230.75508117833925,235.0033823849525,long_run_pce.csv,long run effect estimate of pce on RSUI for Expanditure of Non Residents: negative (estimate=-5.05655e-05; p-value not provided in this file).
RSUI,pce,category,Health,long_run,0.0006774818439022,,21,,300.2595964665283,306.52673109286883,long_run_pce.csv,long run effect estimate of pce on RSUI for Health: positive (estimate=0.000677482; p-value not provided in this file).
RSUI,pce,category,Transport,long_run,4.001710940850793e-05,,21,,260.90814790833906,267.1752825346796,long_run_pce.csv,long run effect estimate of pce on RSUI for Transport: positive (estimate=4.00171e-05; p-value not provided in this file).
RSUI,pce,category,Communication,short_run,0.0185336309789379,0.0853385355514303,13,OK,196.86357290183025,200.25326904659943,short_run_pce.csv,"short run effect of pce on RSUI for Communication: positive (not significant; coef=0.0185336, p=0.0853)."
RSUI,pce,category,Education,short_run,0.0031467195379837,0.329064063368035,21,OK,302.50365735031204,308.77079197665256,short_run_pce.csv,"short run effect of pce on RSUI for Education: positive (not significant; coef=0.00314672, p=0.329)."
RSUI,pce,category,Expanditure Abroad of Residents,short_run,-0.0002078777112765,0.7970596556807239,15,OK,228.8563371193204,233.10463832593365,short_run_pce.csv,"short run effect of pce on RSUI for Expanditure Abroad of Residents: negative (not significant; coef=-0.000207878, p=0.797)."
RSUI,pce,category,Expanditure of Non Residents,short_run,-0.0001909059513037,0.6055722218304457,15,OK,230.75508117833925,235.0033823849525,short_run_pce.csv,"short run effect of pce on RSUI for Expanditure of Non Residents: negative (not significant; coef=-0.000190906, p=0.606)."
RSUI,pce,category,Health,short_run,0.0016543647224541,0.556541424255208,21,OK,300.2595964665283,306.52673109286883,short_run_pce.csv,"short run effect of pce on RSUI for Health: positive (not significant; coef=0.00165436, p=0.557)."
RSUI,pce,category,Transport,short_run,0.0008837967003573,2.3214562663973022e-09,21,OK,260.90814790833906,267.1752825346796,short_run_pce.csv,"short run effect of pce on RSUI for Transport: positive (significant; coef=0.000883797, p=2.32e-09)."
RSUI,total_expenditure,tot_category,Total Expenditure,long_run,8.088486324342168e-05,,21,,296.6324534634061,302.8995880897466,rsui_total_expenditure_long_run_effects.csv,long run effect estimate of total_expenditure on RSUI for Total Expenditure: positive (estimate=8.08849e-05; p-value not provided in this file).
RSUI,total_expenditure,tot_category,Total Expenditure,short_run,0.0007810366018784,0.0060870598863518,21,OK,296.6324534634061,302.8995880897466,rsui_total_expenditure_ardl_results.csv,"short run effect of total_expenditure on RSUI for Total Expenditure: positive (significant; coef=0.000781037, p=0.00609)."
RSUI,unemployment,age_group,15-19 age group,long_run,-64.8862557280153,,21,,306.46359198567126,312.7307266120118,rsui_unemployment_by_age_long_run_effects.csv,long run effect estimate of unemployment on RSUI for 15-19 age group: negative (estimate=-64.8863; p-value not provided in this file).
